"obec1","stat1","obec2","stat2","rok"
"Všeradice","Česká republika","Gernik","Rumunsko",2009
"Zadní Třebaň","Česká republika","Steineroth","Německo",2002
"Beroun","Česká republika","Brzeg","Polsko",2002
"Beroun","Česká republika","Condega","Nikaragua",1992
"Beroun","Česká republika","Goslar","Německo",1991
"Beroun","Česká republika","Rijswijk","Nizozemsko",1991
"Otročiněves","Česká republika","Glendalough","Irsko",2005
"Doksy","Česká republika","Comuni di Ledro","Itálie",2008
"Stochov","Česká republika","Bourbon Lancy","Francie",0
"Stochov","Česká republika","Saarwellingen","Německo",1989
"Kutná Hora","Česká republika","Bamenda","Kamerun",1999
"Kutná Hora","Česká republika","Eger","Maďarsko",2001
"Kutná Hora","Česká republika","Fidenza","Itálie",2004
"Kutná Hora","Česká republika","Kamenec Podolský","Ukrajina",2008
"Kutná Hora","Česká republika","Kremnica","Slovensko",1995
"Kutná Hora","Česká republika","Remeš","Francie",2008
"Kutná Hora","Česká republika","Ringsted","Dánsko",1988
"Kutná Hora","Česká republika","Stamford Twinning Association","Velká Británie",2002
"Kutná Hora","Česká republika","Tarnowskie Góry","Polsko",2003
"Mělník","Česká republika","Oranienburg","Německo",1970
"Mělník","Česká republika","Przeworsk","Polsko",2008
"Mělník","Česká republika","Sandanski - Melnik","Bulharsko",2011
"Mělník","Česká republika","Wetzikon","Švýcarsko",1991
"Kralupy nad Vltavou","Česká republika","Banyuls sur Mer","Francie",1993
"Kralupy nad Vltavou","Česká republika","Henningsdorf","Německo",1970
"Kralupy nad Vltavou","Česká republika","KOMÁRNO","Slovensko",1993
"Kralupy nad Vltavou","Česká republika","Sabac","Srbsko",1998
"Neratovice","Česká republika","Radeberg","Německo",0
"Bělá pod Bezdězem","Česká republika","Gross Bieberau","Německo",1995
"Bělá pod Bezdězem","Česká republika","Svätý Jur","Slovensko",2008
"Benátky nad Jizerou","Česká republika","Modra","Slovensko",2001
"Benátky nad Jizerou","Česká republika","Reinsdorf","Německo",1996
"Benátky nad Jizerou","Česká republika","Rossdorf","Německo",2004
"Mnichovo Hradiště","Česká republika","Erzhausen","Německo",1997
"Mnichovo Hradiště","Česká republika","Incisa in Val d´Arno","Itálie",2006
"Kosmonosy","Česká republika","Seeheim-Jugenheim","Německo",1997
"Dolní Stakory","Česká republika","Nová Dědina","Slovensko",2003
"Kamenné Zboží","Česká republika","Langen","Německo",1977
"Brandýs nad Labem-Stará Boleslav","Česká republika","Dunajevec","Ukrajina",2010
"Brandýs nad Labem-Stará Boleslav","Česká republika","Gödölló","Maďarsko",2009
"Brandýs nad Labem-Stará Boleslav","Česká republika","Montescudaio","Itálie",2008
"Říčany","Česká republika","Albertslund","Dánsko",0
"Říčany","Česká republika","Borken","Německo",0
"Říčany","Česká republika","Daiville","Francie",0
"Říčany","Česká republika","Grabow","Německo",0
"Říčany","Česká republika","Mölndal","Švédsko",0
"Říčany","Česká republika","Whitstable","Velká Británie",2000
"Úvaly","Česká republika","Spišské Bystré","Slovensko",2009
"Kostelec nad Černými Lesy","Česká republika","Mamirolle","Francie",0
"Prusice","Česká republika","Prusice","Polsko",2011
"Černošice","Česká republika","Gerbrunn","Německo",1995
"Černošice","Česká republika","Lešnica","Polsko",1997
"Černošice","Česká republika","Olesnice- okres nikoli město","Polsko",2008
"Jílové u Prahy","Česká republika","Holzgerlingen","Německo",1996
"Jílové u Prahy","Česká republika","Peschici","Itálie",2001
"Velké Přílepy","Česká republika","Szydlow","Polsko",2002
"Velké Přílepy","Česká republika","Zlaté Moravce","Slovensko",2001
"Rudná","Česká republika","Rudna","Polsko",2008
"Příbram","Česká republika","Altötting","Německo",0
"Příbram","Česká republika","Anor","Francie",2005
"Příbram","Česká republika","Čechov","Rusko",1994
"Příbram","Česká republika","Freiberg","Německo",1999
"Příbram","Česká republika","Hoorn","Nizozemsko",1992
"Příbram","Česká republika","Kežmarok","Slovensko",1997
"Příbram","Česká republika","Lešnica","Polsko",2009
"Příbram","Česká republika","Valle di Ledro","Itálie",2008
"Březnice","Česká republika","Lindow - Mark","Německo",2009
"Milín","Česká republika","Valle di Ledro","Itálie",2008
"Kamýk nad Vltavou","Česká republika","Golancz","Polsko",2008
"Sedlčany","Česká republika","Taverny","Francie",1993
"Sedlec-Prčice","Česká republika","Sutton Bridge","Velká Británie",2001
"Rakovník","Česká republika","Dietzenbach","Německo",1986
"Rakovník","Česká republika","Istra","Rusko",1996
"Rakovník","Česká republika","Koscian","Polsko",2005
"Rakovník","Česká republika","Královský Chlmec","Slovensko",0
"Týn nad Vltavou","Česká republika","Gmina Bardo","Polsko",37546
"České Budějovice","Česká republika","Linec","Rakousko",1994
"České Budějovice","Česká republika","Lorient","Francie",1997
"České Budějovice","Česká republika","Nitra","Slovensko",1994
"České Budějovice","Česká republika","Pasov","Německo",1993
"České Budějovice","Česká republika","Suhl","Německo",1979
"Borovany","Česká republika","Jolanda di Savoia","Itálie",2001
"Borovany","Česká republika","Muhleturnen","Švýcarsko",1995
"Kamenný Újezd","Česká republika","Krauchthal","Švýcarsko",1992
"Nové Hrady","Česká republika","Vaulx-Vraucourt","Francie",2008
"Nové Hrady","Česká republika","Weitra","Rakousko",1991
"Dražíč","Česká republika","Eichendorf - Reichstorf","Německo",1999
"Český Krumlov","Česká republika","Hauzenberg","Německo",1991
"Český Krumlov","Česká republika","Kaluš","Ukrajina",1993
"Český Krumlov","Česká republika","Miami Beach","Spojené státy americké",2001
"Český Krumlov","Česká republika","San Gimignano","Itálie",2008
"Český Krumlov","Česká republika","Slovenj Gradec","Slovinsko",1997
"Český Krumlov","Česká republika","Vöcklabruck","Rakousko",1997
"Vyšší Brod","Česká republika","Bad Leonfelden","Rakousko",2005
"Vyšší Brod","Česká republika","Freistadt","Rakousko",2005
"Nová Ves","Česká republika","Wileroltigen","Švýcarsko",1998
"Jindřichův Hradec","Česká republika","Neckargemünd","Německo",1996
"Jindřichův Hradec","Česká republika","Zwettl","Rakousko",2006
"Dačice","Česká republika","Gross-Siegharts","Rakousko",1990
"Chlum u Třeboně","Česká republika","Litschau","Rakousko",2006
"Nová Bystřice","Česká republika","Heidenreichstein","Rakousko",2002
"Novosedly nad Nežárkou","Česká republika","Leiben","Rakousko",2005
"Novosedly nad Nežárkou","Česká republika","Trub","Švýcarsko",1994
"Rapšach","Česká republika","Brand-Nagelberg","Rakousko",2007
"Slavonice","Česká republika","Dobersberg","Rakousko",1996
"Slavonice","Česká republika","Stakčín","Slovensko",2001
"Suchdol nad Lužnicí","Česká republika","Brand-Nagelberg","Rakousko",0
"Třeboň","Česká republika","Horsens","Dánsko",0
"Třeboň","Česká republika","Interlaken","Švýcarsko",1994
"Třeboň","Česká republika","Schrems","Rakousko",1991
"Třeboň","Česká republika","Utena","Litva",1994
"Kovářov","Česká republika","Leiben","Rakousko",2005
"Kovářov","Česká republika","Seftigen","Švýcarsko",1992
"Milevsko","Česká republika","Guichen","Francie",1994
"Milevsko","Česká republika","Münchenbuchsee","Švýcarsko",1991
"Milevsko","Česká republika","Unterweissenbach","Rakousko",2006
"Mirotice","Česká republika","Frauenkappelen","Švýcarsko",1992
"Písek","Česká republika","Caerphilly","Velká Británie",1994
"Písek","Česká republika","Deggendorf","Německo",2008
"Písek","Česká republika","Lemvig","Dánsko",2005
"Písek","Česká republika","Wetzlar","Německo",2006
"Prachatice","Česká republika","Castrocaro terme e Terra del Sole","Itálie",2004
"Prachatice","Česká republika","Grainet","Německo",1996
"Prachatice","Česká republika","Ignalina","Litva",1998
"Prachatice","Česká republika","Impruneta","Itálie",1988
"Prachatice","Česká republika","Mauthausen","Rakousko",1991
"Prachatice","Česká republika","Rogachev","Bělorusko",1999
"Prachatice","Česká republika","Waldkirchen","Německo",1996
"Prachatice","Česká republika","Zvolen","Slovensko",1991
"Lhenice","Česká republika","Gurbrü","Švýcarsko",1993
"Lhenice","Česká republika","Správní společenství Lalling","Německo",2011
"Mičovice","Česká republika","Správní společenství Lalling","Německo",2008
"Stachy","Česká republika","Ruderting","Německo",1995
"Vimperk","Česká republika","Freyung","Německo",2003
"Malenice","Česká republika","Aicha","Německo",2004
"Radomyšl","Česká republika","Montoggio","Itálie",2005
"Vodňany","Česká republika","Kisbér","Maďarsko",2010
"Vodňany","Česká republika","Oravský Podzámok","Slovensko",2002
"Vodňany","Česká republika","Sieraków nad Warta","Polsko",2000
"Vodňany","Česká republika","Wartberg ob der Aist","Rakousko",2001
"Volyně","Česká republika","Aidenbach","Německo",1992
"Nišovice","Česká republika","Niedrried","Švýcarsko",1992
"Strakonice","Česká republika","Bad Salzungen","Německo",1977
"Strakonice","Česká republika","Calderdale","Velká Británie",1992
"Strakonice","Česká republika","Lengnau","Švýcarsko",1994
"Blatná","Česká republika","Roggwil","Švýcarsko",1992
"Blatná","Česká republika","Sarge-Les-Le Mans","Francie",1993
"Blatná","Česká republika","Vacha","Německo",0
"Blatná","Česká republika","Važec","Slovensko",0
"Chelčice","Česká republika","Správní společenství Lalling","Německo",2006
"Sezimovo Ústí","Česká republika","Thierachern","Švýcarsko",1992
"Soběslav","Česká republika","Mesto Sabinov","Slovensko",2006
"Tábor","Česká republika","Dole","Francie",1997
"Tábor","Česká republika","Kostnice","Německo",1984
"Tábor","Česká republika","Nové Zámky","Slovensko",2011
"Tábor","Česká republika","Orinda","Spojené státy americké",1999
"Tábor","Česká republika","Škofja Loka","Slovinsko",2006
"Tábor","Česká republika","Wels","Rakousko",2005
"Kdyně","Česká republika","Eschlkam","Německo",1992
"Poběžovice","Česká republika","Radelfingen","Švýcarsko",1998
"Poběžovice","Česká republika","Schönsee","Německo",1992
"Postřekov","Česká republika","Altendorf","Německo",2009
"Domažlice","Česká republika","Furth bei Göttweig","Rakousko",1993
"Domažlice","Česká republika","Furth im Wald","Německo",1990
"Domažlice","Česká republika","Ludres","Francie",1994
"Bělá nad Radbuzou","Česká republika","Eslarn","Německo",1990
"Bělá nad Radbuzou","Česká republika","Hindelbank","Švýcarsko",1995
"Holýšov","Česká republika","Kümmersbruck","Německo",1992
"Hostouň","Česká republika","Waldthurn","Německo",1238
"Klatovy","Česká republika","Heemskerk","Nizozemsko",1997
"Klatovy","Česká republika","Cham","Německo",1992
"Klatovy","Česká republika","Polevskoj","Rusko",2010
"Klatovy","Česká republika","Poligny","Francie",1992
"Horažďovice","Česká republika","Heimberg","Švýcarsko",0
"Janovice nad Úhlavou","Česká republika","Arrach","Německo",2009
"Plánice","Česká republika","Rubigen","Švýcarsko",1992
"Plánice","Česká republika","Weiding","Německo",2002
"Rabí","Česká republika","Regen","Německo",2011
"Žichovice","Česká republika","Stayer","Rakousko",2009
"Sušice","Česká republika","Gemeinde Uetendorf","Švýcarsko",1994
"Sušice","Česká republika","Gemeinde Wenzenbach","Německo",2004
"Sušice","Česká republika","Stadt Bad Kötzting","Německo",1995
"Plzeň","Česká republika","Birmingham","Spojené státy americké",2005
"Plzeň","Česká republika","Liege","Belgie",1965
"Plzeň","Česká republika","Limoges","Francie",1987
"Plzeň","Česká republika","Regensburg","Německo",1993
"Plzeň","Česká republika","Takasaki","Japonsko",1990
"Plzeň","Česká republika","Winterthur","Švýcarsko",1994
"Plzeň","Česká republika","Žilina","Slovensko",2010
"Blovice","Česká republika","Teublitz","Německo",1993
"Blovice","Česká republika","Triptis","Německo",1991
"Dobřany","Česká republika","Brežice","Slovinsko",2002
"Dobřany","Česká republika","Obertraubling","Německo",2001
"Nepomuk","Česká republika","Anyksciai","Litva",1995
"Nepomuk","Česká republika","Kemnath","Německo",2008
"Nepomuk","Česká republika","Krupina","Slovensko",1992
"Nepomuk","Česká republika","Omiš","Chorvatsko",1994
"Nepomuk","Česká republika","Sanzeno","Itálie",2002
"Nepomuk","Česká republika","Swalmen (Roermond)","Nizozemsko",1992
"Nepomuk","Česká republika","Wisla","Polsko",1993
"Všeruby","Česká republika","Eschlkam","Německo",1990
"Všeruby","Česká republika","Neukirchen","Německo",1990
"Rokycany","Česká republika","Greiz","Německo",1981
"Rokycany","Česká republika","Pfinztal","Německo",1990
"Mýto","Česká republika","Berga","Německo",1965
"Mýto","Česká republika","Gauchy","Francie",1992
"Mýto","Česká republika","Grafenwohr","Německo",2008
"Strašice","Česká republika","Hohenfels","Německo",2008
"Strašice","Česká republika","Ören","Turecko",2008
"Tachov","Česká republika","Barnau","Německo",1999
"Tachov","Česká republika","Statroda","Německo",1974
"Bezdružice","Česká republika","Pullenreuth","Německo",2009
"Bezdružice","Česká republika","Waldershof","Německo",2009
"Bor","Česká republika","Pleystein","Německo",2003
"Bor","Česká republika","Wernberg-Köblitz","Německo",2010
"Halže","Česká republika","Bärnau","Německo",1999
"Halže","Česká republika","Guteneck","Německo",2011
"Konstantinovy Lázně","Česká republika","Bad Brambach","Německo",1994
"Konstantinovy Lázně","Česká republika","Follonica","Itálie",2005
"Konstantinovy Lázně","Česká republika","Neualbenreuth","Německo",1994
"Planá","Česká republika","Tirschenreuth","Německo",2008
"Rozvadov","Česká republika","Waidhaus","Německo",1990
"Stříbro","Česká republika","Dinkelsbühl","Německo",1998
"Stříbro","Česká republika","Fano","Itálie",2001
"Stříbro","Česká republika","Moncoutant","Francie",2009
"Stříbro","Česká republika","Oelsnitz","Německo",2002
"Stříbro","Česká republika","Vohenstraus","Německo",1990
"Skalná","Česká republika","Neusorg","Německo",1991
"Cheb","Česká republika","Hof","Německo",2004
"Cheb","Česká republika","Nižní Tagil","Rusko",1990
"Cheb","Česká republika","Rheden","Nizozemsko",1990
"Aš","Česká republika","Fiumefreddo di Sicilia","Itálie",0
"Aš","Česká republika","Oelsnitz","Německo",0
"Aš","Česká republika","Plauen","Německo",0
"Aš","Česká republika","Rehau","Německo",0
"Libá","Česká republika","Hohenberg a.d. Eger","Německo",2004
"Luby","Česká republika","Erlbach","Německo",2004
"Mariánské Lázně","Česká republika","Bad Homburg","Německo",1991
"Mariánské Lázně","Česká republika","Chianciano","Itálie",0
"Mariánské Lázně","Česká republika","Marcoussis","Francie",0
"Mariánské Lázně","Česká republika","Nižní Tagil","Rusko",2007
"Mariánské Lázně","Česká republika","Weiden","Německo",2008
"Pomezí nad Ohří","Česká republika","Schirnding","Německo",2003
"Milíkov","Česká republika","Schwebheim","Německo",1994
"Karlovy Vary","Česká republika","Baden-Baden","Německo",1998
"Karlovy Vary","Česká republika","Bernkastel-Kues","Německo",2000
"Karlovy Vary","Česká republika","Carlsbad","Spojené státy americké",1991
"Karlovy Vary","Česká republika","Cassino","Itálie",1991
"Karlovy Vary","Česká republika","Kusatsu","Japonsko",1992
"Karlovy Vary","Česká republika","Locarno","Švýcarsko",1965
"Karlovy Vary","Česká republika","Varberg","Švédsko",2004
"Karlovy Vary","Česká republika","Viareggio","Itálie",1987
"Bochov","Česká republika","Markt Thiersheim","Německo",2009
"Nová Role","Česká republika","Breitenbrunn","Německo",2007
"Ostrov","Česká republika","Rastatt","Německo",1991
"Ostrov","Česká republika","Wunsiedel","Německo",2009
"Sokolov","Česká republika","Saalfeld","Německo",1974
"Sokolov","Česká republika","Schwandorf","Německo",2000
"Březová","Česká republika","Pausa","Německo",2005
"Horní Slavkov","Česká republika","Arzberg","Německo",2007
"Horní Slavkov","Česká republika","Slawkow","Polsko",2000
"Horní Slavkov","Česká republika","Syrau","Německo",2009
"Kraslice","Česká republika","Klingenthal","Německo",1971
"Kynšperk nad Ohří","Česká republika","Himmelkron","Německo",2001
"Loket","Česká republika","Illertissen","Německo",2000
"Děčín","Česká republika","Jonava","Litva",2005
"Děčín","Česká republika","Pirna","Německo",1998
"Děčín","Česká republika","Ružomberk","Slovensko",2008
"Benešov nad Ploučnicí","Česká republika","Heidenau","Německo",1992
"Varnsdorf","Česká republika","Grossschönau","Německo",1997
"Varnsdorf","Česká republika","Löbau","Německo",2000
"Varnsdorf","Česká republika","Seifhennersdorf","Německo",0
"Chomutov","Česká republika","Annaberg-Buchholz","Německo",1999
"Chomutov","Česká republika","Arenzano","Itálie",2005
"Chomutov","Česká republika","Bernburg","Německo",1995
"Chomutov","Česká republika","Lauda-Königshofen","Německo",2000
"Jirkov","Česká republika","Brand-Erbisdorf","Německo",0
"Kadaň","Česká republika","Aue","Německo",2006
"Kadaň","Česká republika","Halle","Belgie",2003
"Klášterec nad Ohří","Česká republika","Baarn","Nizozemsko",1994
"Klášterec nad Ohří","Česká republika","Grossrückerswalde","Německo",2009
"Místo","Česká republika","Stadt Schlettau","Německo",2004
"Litoměřice","Česká republika","Armentieres","Francie",1998
"Litoměřice","Česká republika","Calamba","Filipíny",2006
"Litoměřice","Česká republika","Dapitan","Filipíny",2006
"Litoměřice","Česká republika","Fulda","Německo",2001
"Litoměřice","Česká republika","Meissen","Německo",1996
"Roudnice nad Labem","Česká republika","Dessau-Rosslau","Německo",2004
"Roudnice nad Labem","Česká republika","Ruelle sur Touvre","Francie",1992
"Třebívlice","Česká republika","Wiederitzsch","Německo",2001
"Louny","Česká republika","Barendrecht","Nizozemsko",1991
"Louny","Česká republika","Lučenec","Slovensko",0
"Louny","Česká republika","Veneux - Les Sablons","Francie",2004
"Louny","Česká republika","Zschopau","Německo",1972
"Slavětín","Česká republika","Leubsdorf","Německo",2005
"Žatec","Česká republika","Krasnystaw","Polsko",0
"Žatec","Česká republika","Poperinge","Belgie",0
"Žatec","Česká republika","Thum","Německo",0
"Žatec","Česká republika","Žalec","Slovinsko",0
"Líšťany","Česká republika","Mildenau","Německo",2004
"Blšany u Loun","Česká republika","Leubzdorf","Německo",2001
"Most","Česká republika","Marienberg","Německo",1992
"Most","Česká republika","Meppel","Nizozemsko",1999
"Litvínov","Česká republika","Brie-Comte-Robert","Francie",2011
"Litvínov","Česká republika","Olbernhau","Německo",1992
"Meziboří","Česká republika","Sayda","Německo",1995
"Meziboří","Česká republika","Sogliano al Rubicone","Itálie",1991
"Nová Ves v Horách","Česká republika","Deutschneudorf","Německo",2000
"Obrnice","Česká republika","Zschopau","Německo",2011
"Bílina","Česká republika","Ales","Francie",0
"Bílina","Česká republika","Bilgoraj","Polsko",1994
"Bílina","Česká republika","Crailsheim","Německo",0
"Bílina","Česká republika","Dippoldiswalde","Německo",2005
"Bílina","Česká republika","Nowowolynsk","Ukrajina",2000
"Bílina","Česká republika","Saeby","Dánsko",1992
"Bílina","Česká republika","Stropkov","Slovensko",2008
"Duchcov","Česká republika","Miltenberg","Německo",2004
"Duchcov","Česká republika","Mulda","Německo",2005
"Háj u Duchcova","Česká republika","Kreischa","Německo",2003
"Měrunice","Česká republika","Beuren, obecní část města Leinefelde - Worbis","Německo",2004
"Měrunice","Česká republika","Reifland - obecní část města Lengefeld","Německo",2005
"Osek","Česká republika","Frauenstein","Německo",2010
"Osek","Česká republika","Lengefeld","Německo",2009
